,datum,redeID,vorname,nachname,fraktion,name,inhalt_neu
11,14.03.2018,ID191901100,Katarina,Barley,SPD,Katarina Barley,ich schwöre es herr bundesminister für arbeit und soziales hubertus heil
12,14.03.2018,ID191901200,Hubertus,Heil,SPD,Hubertus Heil,herr präsident ich schwöre es so wahr mir gott helfe frau bundesministerin der verteidigung dr ursula von der leyen
13,14.03.2018,ID191901300,Ursula,Leyen,,Ursula Leyen,herr präsident ich schwöre es so wahr mir gott helfe frau bundesministerin für ernährung und landwirtschaft julia klöckner
14,14.03.2018,ID191901400,Julia,Klöckner,CDU/CSU,Julia Klöckner,herr präsident ich schwöre es so wahr mir gott helfe frau bundesministerin für familie senioren frauen und jugend dr franziska giffey
15,14.03.2018,ID191901500,Franziska,Giffey,SPD,Franziska Giffey,ich schwöre es so wahr mir gott helfe herr bundesminister für gesundheit jens spahn
16,14.03.2018,ID191901600,Jens,Spahn,CDU/CSU,Jens Spahn,herr präsident ich schwöre es so wahr mir gott helfe herr bundesminister für verkehr und digitale infrastruktur andreas scheuer
17,14.03.2018,ID191901700,Andreas,Scheuer,CDU/CSU,Andreas Scheuer,herr präsident ich schwöre es so wahr mir gott helfe frau bundesministerin für umwelt naturschutz und nukleare sicherheit svenja schulze
18,14.03.2018,ID191901800,Svenja,Schulze,SPD,Svenja Schulze,herr präsident ich schwöre es frau bundesministerin für bildung und forschung anja karliczek
19,14.03.2018,ID191901900,Anja,Karliczek,CDU/CSU,Anja Karliczek,herr präsident ich schwöre es so wahr mir gott helfe herr bundesminister für wirtschaftliche zusammenarbeit und entwicklung dr gerd müller
20,14.03.2018,ID191902000,Gerd,Müller,CDU/CSU,Gerd Müller,herr präsident ich schwöre es so wahr mir gott helfe herr bundesminister für besondere aufgaben dr helge braun
21,14.03.2018,ID191902100,Helge,Braun,CDU/CSU,Helge Braun,herr präsident ich schwöre es so wahr mir gott helfe verehrte kolleginnen und kollegen die mitglieder der bundesregierung haben den nach artikel absatz des grundgesetzes vorgeschriebenen eid vor dem deutschen bundestag geleistet ich spreche allen mitgliedern der bundesregierung noch einmal persönlich und im namen des hauses die besten wünsche für die übernommenen aufgaben aus wir sind damit am schluss der heutigen tagesordnung ich berufe die nächste sitzung des deutschen bundestages auf morgen donnerstag den märz uhr ein die sitzung ist geschlossen (schluss: uhr)
